#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:42:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:42:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:42:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:42:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:42:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:42:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:43:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:43:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:43:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:43:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:43:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:43:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:44:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:44:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:44:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:44:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:44:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:44:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:45:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:45:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:45:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:45:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:45:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:45:50Z,0,usage_guest,cpu,cpu-total,MyLord
